Hugo_Symbol,JAAB101,JAAB401,JAAB601,JAAB801,JAABA01,JAABE01,JAABF01,JAABH01,JAABI01,JAABK01
RLN1,0.505860167202016,0.233732831865145,0.244305520829885,0.341668628892728,0.345470100312765,0.474667275779945,0.329737003108627,0.272371331248946,0.260591584357735,0.356806047566814
SLC30A7,0.0387218605057556,0.0841393216905098,0.103825295756435,0.0585108390112747,0.0650439263208631,0.118280693490394,0.0780530055260824,0.0872673009305303,0.0704585256923067,0.0779252473504344
PLS1,0.271558835103972,0.231776645016396,0.165954264451267,0.35003357726844,0.332766017573353,0.303956417444957,0.290728196300926,0.176092935935736,0.272889339181636,0.206063600706175
MKI67IP,0.0436839537879851,0.0537846626665239,0.0447333344091698,0.0472296999885088,0.0525630078315515,0.0466384597521588,0.0529081661661211,0.0482618328017328,0.040078606746921,0.0581776813872443
DVL3,0.78348422208497,0.802899406726715,0.349828098599701,0.744824912179236,0.765775610217673,0.653986725651838,0.853751186455316,0.863345934380749,0.80377630523838,0.885370305237215
CSNK1G3,0.0845137417781484,0.0349807080135393,0.0971820137878518,0.0420013973998826,0.0893573730446338,0.0601207268008986,0.0573997635921294,0.0449188190073141,0.0656162199107375,0.0817752510020167
SLC35B2,0.508593684253031,0.383771577206503,0.34157618070133,0.472721542335466,0.453624680516223,0.493502218958843,0.377613141218262,0.350083234418927,0.40247645272981,0.392577715502068
FASLG,0.769990074036185,0.718078632909763,0.815902661687022,0.780174123021311,0.716569526910872,0.825004703309107,0.755787753951287,0.848651326320404,0.862674932010742,0.806832559007061
EIF4EBP3,0.0799782409143575,0.164855770450311,0.129677652293253,0.0788144215982149,0.0851415439714859,0.0855863504522344,0.189518442817105,0.12667372537326,0.0562125401933348,0.243030737081083
ZNF740,0.875408595842671,0.828849904679111,0.898948797367536,0.864879903243498,0.830372368322216,0.8677966503546,0.82690950454911,0.883647838964889,0.883163395810801,0.829053213284776
C17orf82,0.409870029526322,0.516562287230567,0.312921457250959,0.349339562388979,0.366416656262796,0.414720311225632,0.499355908550477,0.591267085367012,0.329381914296392,0.625292472919534
RGNEF,0.543597749783105,0.675424982295158,0.446315736144528,0.770749599913478,0.632532354389703,0.662919153954135,0.769449947178671,0.656414367890751,0.383035596906268,0.690150413895634
TFF2,0.796776819515759,0.673395010826953,0.646724466394657,0.875198831404756,0.801466468737784,0.849709460726385,0.607280884947497,0.787117755014381,0.694795190091935,0.72514499176784
EN2,0.437538592628546,0.0886401132208386,0.0651519278998921,0.0789137995777754,0.102356507054342,0.120334497182443,0.0949274220144457,0.314057330894281,0.654220112433343,0.34255575588114
TNFRSF25,0.610273882344768,0.485554762796353,0.672822291790582,0.457304607682965,0.556140546303944,0.598582538849424,0.537526996697809,0.59654066501819,0.660083879719682,0.665129087447639
FAM19A2,0.448516608870054,0.0920204972478316,0.442662392947526,0.287930595965232,0.0456362392156737,0.454808943699137,0.345874113372436,0.292324669387098,0.715105270870366,0.271043676633921
C1orf55,0.0363052565042572,0.0288653441979218,0.0297994909703115,0.0325147352954109,0.0388998380297855,0.0330203717983193,0.0301100380864881,0.0303593562756209,0.0384924706322884,0.0359822199864667
BIN1,0.034874851278973,0.0568658723060041,0.0334398600576489,0.0238021007592397,0.0361548038847578,0.0307311762656438,0.0380512628050859,0.0276240785251695,0.02571057522034,0.0370983281559857
PCNT,0.861979111618397,0.775679555127748,0.848168054871485,0.808143843909422,0.80000490621274,0.768138917436458,0.816079690970016,0.837225823188408,0.65299581009104,0.801809693676859
NDOR1,0.53628958287787,0.626804992355312,0.560850429445737,0.706318104247813,0.654689411837097,0.621285461499769,0.762329177578142,0.533367447582077,0.560844294318585,0.647479930680209
ZNF195,0.119038658408971,0.0857279049108819,0.128586308006941,0.0921376356107959,0.0856403764965316,0.119739411102093,0.0878950787675807,0.0902992925100078,0.0884526231784711,0.0754503066931744
PNLIPRP2,0.679914210285335,0.949331327457818,0.727904945713752,0.865048975277703,0.934024987189282,0.937618223098502,0.937072963042651,0.935457636683573,0.940853980262415,0.853095566034016
FAM96A,0.0696452484200918,0.0490787405322701,0.0795993030077767,0.0666297260648747,0.0668076582381803,0.0658055626977855,0.065167193381837,0.0610550262801427,0.0788758318661469,0.0563869277105686
RNF11,0.166940240251,0.0900535232540831,0.111675625312308,0.117053927866485,0.0824504754060312,0.0913988150615428,0.114448300470157,0.115017187810291,0.219536962547731,0.108458224230523
SARS,0.920053428122312,0.933923736547202,0.944675556461623,0.941520726309559,0.92249328612005,0.929697686954803,0.917375815588686,0.917101095543411,0.917776259035612,0.927455227722441
GKAP1,0.0563186108045476,0.0312866897480106,0.0343114312186371,0.0301457508465228,0.0389695387288897,0.0312683675243227,0.03729799633604,0.0624930462425773,0.0369580800180538,0.0395793999363404
STK38,0.0449091969397431,0.0417735706058291,0.046904300296125,0.0433728725211192,0.0436255395438173,0.0448378809424052,0.0363057859061741,0.0358678127447701,0.0703602393838619,0.0414780628036977
NT5DC2,0.694310156426553,0.634446287713557,0.516533404465239,0.61993235398532,0.697351424893338,0.641073705310058,0.657517568256635,0.673788434714004,0.753819666304673,0.702169168562755
AK2,0.0552889895875401,0.0335691887482398,0.0361035670393684,0.0485010819645114,0.0524245203264144,0.0436963286918763,0.0418793500199979,0.0485523592611477,0.0582355285998718,0.0504739423639894
TOPORS,0.0776166267659901,0.0795560453256281,0.086468276488682,0.0828430224024449,0.0731338630215473,0.0773969451544003,0.0752255291500178,0.0758788092368437,0.113739558762621,0.0733975792394302
ARSG,0.596134317222689,0.745963087234385,0.684919945654795,0.702851651986966,0.732813727355016,0.638837133219303,0.530015512983207,0.733951015100855,0.682788475962212,0.66332025614692
NFKB1,0.0407127163913499,0.0345509008654961,0.0408418226654406,0.0299637898429717,0.0332871641373105,0.0382408783216359,0.0442254414578513,0.0364693988252769,0.0398085552818166,0.0377400560982233
C20orf29,0.883720578859916,0.861773137011747,0.897060934834392,0.886078086408836,0.872177076792024,0.921257510299259,0.866064605717885,0.882527517766225,0.92101550062141,0.897694062123232
CLSTN1,0.18679704584227,0.139264511451422,0.166635482232543,0.216027306180562,0.299045696516782,0.171939509890993,0.245202370227016,0.162117663425661,0.202683222561338,0.344901634560205
TMEM33,0.117092685267855,0.0714997993008811,0.0959515456623929,0.0593044905919364,0.0872876126978351,0.0910038721351183,0.0766514381380437,0.0793162329968912,0.108240971605288,0.068166310914374
DSE,0.68060623940661,0.753358833878758,0.760442952833984,0.450387148884677,0.405312403381764,0.406133101550236,0.509119367021542,0.696337571267752,0.665169243346428,0.714479141326585
ZNF337,0.0397923311899736,0.0325811255051931,0.0446675864262798,0.0312821705949778,0.0417436452798853,0.0371378180076706,0.0299708676839589,0.0392737936537195,0.0464415399941457,0.0444774996295202
CTNNA3,0.685205149861329,0.533716621489397,0.698976683404289,0.81148185089458,0.735944857565703,0.731371919998389,0.762634802181784,0.870839054183075,0.497340902825667,0.811358921127757
CLSTN2,0.481289872374823,0.0709004752297662,0.243376627541793,0.178615185951128,0.361685458817014,0.152691036798315,0.288484396466763,0.388196842685589,0.629005711085158,0.255416626117495
